Product_URL,Brand,Description,Id_Product,URL_image,Category_by_gender,Discount Price (in Rs.),Original Price (in Rs.),Color
https://www.ajio.com/puma-logo-print-t-shirt-with-crew-neck/p/469019708_red,puma,Logo Print T-shirt with Crew-Neck,4.69E+11,https://assets.ajio.com/medias/sys_master/root/20211014/cQ2E/61682a76aeb269011092bb2c/-286Wx359H-469019708-red-MODEL.jpg,Men,600,"1,499",red
https://www.ajio.com/teamspirit-speckled-shorts-with-slant-pockets/p/441118455_navy,teamspirit,Speckled Shorts with Slant Pockets,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210703/scvg/60df5f7faeb269a9e3360738/-286Wx359H-441118455-navy-MODEL.jpg,Men,384,799,navy
https://www.ajio.com/netplay-round-neck-thermal-vest/p/441115030_blackcharcoal,netplay,Round-Neck Thermal Vest,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210526/jX8D/60ad523faeb269a9e3c8f05c/-286Wx359H-441115030-blackcharcoal-MODEL.jpg,Men,135,269,blackcharcoal
https://www.ajio.com/performax-panelled-crew-neck-t-shirt/p/440745963_navy,performax,Panelled Crew-Neck T-shirt,4.41E+11,https://assets.ajio.com/medias/sys_master/root/hdb/h7b/12588372918302/-286Wx359H-440745963-navy-OUTFIT.jpg,Men,299,499,navy
https://www.ajio.com/campus-sutra-mid-wash-jogger-jeans-with-5-pocket-styling/p/463601615_navy,campus-sutra,Mid-Wash Jogger Jeans with 5-pocket Styling,4.64E+11,https://assets.ajio.com/medias/sys_master/root/20220104/VuaR/61d360d0f997dd66230faea0/-286Wx359H-463601615-navy-MODEL.jpg,Men,850,"1,699",navy
https://www.ajio.com/netplay-flat-front-slim-fit-chinos/p/440717974_stone,netplay,Flat-Front Slim Fit Chinos,4.41E+11,https://assets.ajio.com/medias/sys_master/root/h36/h8c/12277048901662/-286Wx359H-440717974-stone-MODEL.jpg,Men,799,999,stone
https://www.ajio.com/netplay-crew-neck-sweatshirt-with-ribbed-hems/p/441124524_black,netplay,Crew-Neck Sweatshirt with Ribbed Hems,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20211013/Y1D4/61662aa2f997ddf8f1cdb263/-286Wx359H-441124524-black-MODEL.jpg,Men,480,999,black
https://www.ajio.com/u-s-polo-assn-shirt-with-patch-pocket/p/469079943_rust,u-s-polo-assn-,Shirt with Patch Pocket,4.69E+11,https://assets.ajio.com/medias/sys_master/root/20211228/2GVj/61ca38e4f997ddf8f164af32/-286Wx359H-469079943-rust-MODEL.jpg,Men,980,"1,999",rust
https://www.ajio.com/fort-collins-pack-of-2-track-pants-with-insert-pockets/p/469133585_blackgrey,fort-collins,Pack of 2 Track Pants with Insert Pockets,4.69E+11,https://assets.ajio.com/medias/sys_master/root/20220422/kmYC/6261a67ff997dd03e2781cc8/-286Wx359H-469133585-blackgrey-MODEL.jpg,Men,720,"1,599",blackgrey
https://www.ajio.com/dnmx-lightly-washed-ankle-length-skinny-jeans/p/441115774_mediumblue,dnmx,Lightly Washed Ankle-Length Skinny Jeans,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210526/SDZq/60ad4f40f997ddb312a8f294/-286Wx359H-441115774-mediumblue-MODEL.jpg,Men,816,"1,699",mediumblue
